symbol,name,data_interface,monitor_signal,stock_category,importance_degree,total_mv,circ_mv,remarks
518850,黄金ETF华夏,ETF-东财,收盘低于下轨或最低上穿下轨,同花顺-适合boll策略,非常高,,,
161226,国投白银LOF,ETF-东财,,同花顺-适合boll策略,,,,
sz399986,中证银行,A股指数-东财,,同花顺-适合boll策略,中,,,
sh000922,中证红利,A股指数-东财,,同花顺-适合boll策略,中,,,
csiH30269,红利低波,A股指数-东财,,同花顺-适合boll策略,高,,,
sh000824,国企红利,A股指数-东财,,同花顺-适合boll策略,中,,,
sh000825,央企红利,A股指数-东财,,同花顺-适合boll策略,中,,,
csi930914,港股通高股息,A股指数-东财,,同花顺-适合boll策略,,,,
159509,纳指科技ETF,ETF-东财,收盘低于下轨或最低上穿下轨,同花顺-适合boll策略,非常高,,,
159501,纳斯达克指数ETF,ETF-东财,收盘低于下轨或最低上穿下轨,默认,非常高,,,
513520,日经ETF,ETF-东财,收盘低于下轨或最低上穿下轨,同花顺-适合boll策略,非常高,,,
159561,德国ETF,ETF-东财,收盘低于下轨或最低上穿下轨,同花顺-适合boll策略,非常高,,,
513080,法国CAC40ETF,ETF-东财,收盘低于下轨或最低上穿下轨,同花顺-适合boll策略,非常高,,,
164824,印度基金LOF,ETF-东财,收盘低于下轨或最低上穿下轨,同花顺-适合boll策略,非常高,,,
csiH30533,中国互联网50,A股指数-东财,,同花顺-适合boll策略,,,,
csiH30094,消费红利,A股指数-东财,,同花顺-适合boll策略,,,,
csi931071,人工智能,A股指数-东财,,同花顺-适合boll策略,,,,
csi930641,中证中药,A股指数-东财,,同花顺-适合boll策略,,,,
csi931024,港股通非银,A股指数-东财,,同花顺-适合boll策略,,,,
csi930716,CS物流,A股指数-东财,,同花顺-适合boll策略,,,,
sz399967,中证军工,A股指数-东财,,同花顺-适合boll策略,,,,
159697,国证油气,ETF-东财,,同花顺-适合boll策略,,,,
csi931790,中韩半导体,A股指数-东财,,同花顺-适合boll策略,,,,
159981,能源化工ETF,ETF-东财,,同花顺-适合boll策略,,,,
513350,标普油气ETF,ETF-东财,,同花顺-适合boll策略,,,,
sz399995,基建工程,A股指数-东财,,同花顺-适合boll策略,,,,
csi931052,国信价值,A股指数-东财,,同花顺-适合boll策略,,,,
csi931008,汽车指数,A股指数-东财,,同花顺-适合boll策略,,,,
sh000819,有色金属,A股指数-东财,,同花顺-适合boll策略,,,,
csiH30199,电力指数,A股指数-东财,,同花顺-适合boll策略,,,,
csi930997,新能源车,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi930633,中证旅游,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sh000812,细分机械,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sh000813,细分化工,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csiH30202,软件指数,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sz399998,中证煤炭,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sz399989,中证医疗,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931152,CS创新药,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sz399441,生物医药,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csiH30217,医疗器械,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931494,消费电子,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sz399975,证券公司,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csiH30035,300非银,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi930606,中证钢铁,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csiH30184,半导体,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931160,通信设备,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931235,中证电信,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931009,建筑材料,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi930697,家用电器,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sh000949,中证农业,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931151,光伏产业,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sh000815,细分食品,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sz399971,中证传媒,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi930901,动漫游戏,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi930781,中证影视,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csiH30590,机器人,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931456,中国教育,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
sh000932,中证消费,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi930604,中国互联网30,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
csi931775,房地产,A股指数-东财,,同花顺-全部行业指数(除去和1相同的),,,,
513060,恒生医疗ETF,ETF-东财,,同花顺-全港股ETF,,,,
159792,港股通互联网ETF,ETF-东财,,同花顺-全港股ETF,,,,
513330,恒生互联网ETF,ETF-东财,,同花顺-全港股ETF,,,,
513630,港股红利指数ETF,ETF-东财,,同花顺-全港股ETF,,,,
513120,港股创新药ETF,ETF-东财,,同花顺-全港股ETF,,,,
513090,香港证券ETF,ETF-东财,,同花顺-全港股ETF,,,,
513970,恒生消费ETF,ETF-东财,,同花顺-全港股ETF,,,,
513750,港股非银ETF,ETF-东财,,同花顺-全港股ETF,,,,
513530,港股通红利ETF,ETF-东财,,同花顺-全港股ETF,,,,
513050,中概互联网ETF,ETF-东财,,同花顺-全港股ETF,,,,
159636,港股通科技ETF,ETF-东财,,同花顺-全港股ETF,,,,
159691,港股红利ETF,ETF-东财,,同花顺-全港股ETF,,,,
159892,恒生医药ETF,ETF-东财,,同花顺-全港股ETF,,,,
513690,港股红利ETF,ETF-东财,,同花顺-全港股ETF,,,,
513920,港股通央企红利ETF,ETF-东财,,同花顺-全港股ETF,,,,
513200,港股通医药ETF,ETF-东财,,同花顺-全港股ETF,,,,
513550,港股通50ETF,ETF-东财,,同花顺-全港股ETF,,,,
159506,恒生医疗ETF,ETF-东财,,同花顺-全港股ETF,,,,
513860,港股通科技ETF,ETF-东财,,同花顺-全港股ETF,,,,
159567,港股创新药ETF,ETF-东财,,同花顺-全港股ETF,,,,
513160,港股科技30ETF,ETF-东财,,同花顺-全港股ETF,,,,
513950,恒生红利ETF,ETF-东财,,同花顺-全港股ETF,,,,
513190,港股通金融ETF,ETF-东财,,同花顺-全港股ETF,,,,
159735,港股消费ETF,ETF-东财,,同花顺-全港股ETF,,,,
513170,恒生央企ETF,ETF-东财,,同花顺-全港股ETF,,,,
159333,港股央企红利ETF,ETF-东财,,同花顺-全港股ETF,,,,
159726,恒生红利ETF,ETF-东财,,同花顺-全港股ETF,,,,
159747,香港科技ETF,ETF-东财,,同花顺-全港股ETF,,,,
513590,香港消费ETF,ETF-东财,,同花顺-全港股ETF,,,,
520500,恒生创新药ETF,ETF-东财,,同花顺-全港股ETF,,,,
513320,恒生新经济ETF,ETF-东财,,同花顺-全港股ETF,,,,
520700,港股创新药ETF,ETF-东财,,同花顺-全港股ETF,,,,
159788,港股通100ETF,ETF-东财,,同花顺-全港股ETF,,,,
159519,港股国企ETF,ETF-东财,,同花顺-全港股ETF,,,,
513140,港股金融ETF,ETF-东财,,同花顺-全港股ETF,,,,
sh601988,中国银行,A股股票-新浪,,同花顺-个股boll监控,高,16574,11866,
sh601398,工商银行,A股股票-新浪,,同花顺-个股boll监控,高,25376,19196,
sh601288,农业银行,A股股票-新浪,,同花顺-个股boll监控,高,19634,17910,
sh601939,建设银行,A股股票-新浪,,同花顺-个股boll监控,高,22926,880,
sh601728,中国电信,A股股票-新浪,,同花顺-个股boll监控,,7229,6133,
sh600941,中国移动,A股股票-新浪,,同花顺-个股boll监控,,24789,1037,
sh600050,中国联通,A股股票-新浪,,同花顺-个股boll监控,,1698,1671,
sh600900,长江电力,A股股票-新浪,收盘低于下轨或最低上穿下轨,同花顺-个股boll监控,非常高,7592,7449,
sh601088,中国神华,A股股票-新浪,收盘低于下轨或最低上穿下轨,同花顺-个股boll监控,非常高,8027,6662,
sh600036,招商银行,A股股票-新浪,,同花顺-个股boll监控,高,11225,9182,
sh601166,兴业银行,A股股票-新浪,,同花顺-个股boll监控,高,4757,4757,
sh601328,交通银行,A股股票-新浪,,同花顺-个股boll监控,中,5770,3050,
sh600919,江苏银行,A股股票-新浪,,同花顺-个股boll监控,中,2030,2030,
sh600000,浦发银行,A股股票-新浪,,同花顺-个股boll监控,,3648,3648,
sh601899,紫金矿业,A股股票-新浪,收盘低于下轨或最低上穿下轨,同花顺-个股boll监控,非常高,4938,3825,
sh600028,中国石化,A股股票-新浪,,同花顺-个股boll监控,,7010,5482,
sz000333,美的集团,A股股票-新浪,,同花顺-个股boll监控,,6087,5481,
sh601658,邮储银行,A股股票-新浪,,同花顺-个股boll监控,,5345,3618,
sh601998,中信银行,A股股票-新浪,,同花顺-个股boll监控,,4390,3216,
sh600276,恒瑞医药,A股股票-新浪,,同花顺-个股boll监控,,3547,3547,
sh601816,京沪高铁,A股股票-新浪,,同花顺-个股boll监控,,2951,2951,
sz002415,海康威视,A股股票-新浪,,同花顺-个股boll监控,,2614,2578,
sz000651,格力电器,A股股票-新浪,,同花顺-个股boll监控,,2637,2596,
sh601668,中国建筑,A股股票-新浪,,同花顺-个股boll监控,,2392,2392,
sz002352,顺丰控股,A股股票-新浪,,同花顺-个股boll监控,,2307,2216,
sh600887,伊利股份,A股股票-新浪,,同花顺-个股boll监控,,1933,1923,
sh600406,国电南瑞,A股股票-新浪,,同花顺-个股boll监控,,1854,1846,
sh600025,华能水电,A股股票-新浪,,同花顺-个股boll监控,,1820,1820,
sh600031,三一重工,A股股票-新浪,,同花顺-个股boll监控,,1616,1614,
sh600019,宝钢股份,A股股票-新浪,,同花顺-个股boll监控,,1503,1494,
sz000429,粤高速A,A股股票-新浪,,同花顺-个股boll监控,,306,191,
sh600350,山东高速,A股股票-新浪,,同花顺-个股boll监控,,542,542,
sh601006,大秦铁路,A股股票-新浪,,同花顺-个股boll监控,,1350,1350,
sh600377,宁沪高速,A股股票-新浪,,同花顺-个股boll监控,,809,611,
sh600482,中国动力,A股股票-新浪,,同花顺-个股boll监控,,490,490,
sz002179,中航光电,A股股票-新浪,,同花顺-个股boll监控,,852,837,
sh601111,中国国航,A股股票-新浪,,同花顺-个股boll监控,中,1396,931,
sz000876,新希望,A股股票-新浪,,同花顺-个股boll监控,,430,427,
sh600941,中国移动,A股股票-新浪,,通达信-250波幅小30,,24789,1037,
sh600900,长江电力,A股股票-新浪,,通达信-250波幅小30,,7592,7449,
sh601328,交通银行,A股股票-新浪,,通达信-250波幅小30,,5770,3050,
sh601658,邮储银行,A股股票-新浪,,通达信-250波幅小30,,5345,3618,
sh601006,大秦铁路,A股股票-新浪,,通达信-250波幅小30,,1350,1350,
sh601169,北京银行,A股股票-新浪,,通达信-250波幅小30,,1338,1338,
sh600905,三峡能源,A股股票-新浪,,通达信-250波幅小30,,1242,1241,
sh601868,中国能建,A股股票-新浪,,通达信-250波幅小30,,926,720,
sz001965,招商公路,A股股票-新浪,,通达信-250波幅小30,,853,853,
sh600115,中国东航,A股股票-新浪,,通达信-250波幅小30,,874,671,
sh601916,浙商银行,A股股票-新浪,,通达信-250波幅小30,,865,679,
sh601018,宁波港,A股股票-新浪,,通达信-250波幅小30,,726,590,
sh600642,申能股份,A股股票-新浪,,通达信-250波幅小30,,445,444,
sh600925,苏能股份,A股股票-新浪,,通达信-250波幅小30,,351,82,
sz000088,盐田港,A股股票-新浪,,通达信-250波幅小30,,254,110,
sh601228,广州港,A股股票-新浪,,通达信-250波幅小30,,249,249,
sh601158,重庆水务,A股股票-新浪,,通达信-250波幅小30,,236,236,
sh601128,常熟银行,A股股票-新浪,,通达信-250波幅小30,,238,238,
sz001213,中铁特货,A股股票-新浪,,通达信-250波幅小30,,182,182,
sz000089,深圳机场,A股股票-新浪,,通达信-250波幅小30,,146,146,
sh601827,三峰环境,A股股票-新浪,,通达信-250波幅小30,,138,138,
sh600116,三峡水利,A股股票-新浪,,通达信-250波幅小30,,132,132,
sh600821,金开新能,A股股票-新浪,,通达信-250波幅小30,,110,110,
sh600033,福建高速,A股股票-新浪,,通达信-250波幅小30,,100,100,
sh603053,成都燃气,A股股票-新浪,,通达信-250波幅小30,,86,86,
sh600035,楚天高速,A股股票-新浪,,通达信-250波幅小30,,73,73,
sh600897,厦门空港,A股股票-新浪,,通达信-250波幅小30,,60,60,
sh600681,百川能源,A股股票-新浪,,通达信-250波幅小30,,47,47,
sh603689,皖天然气,A股股票-新浪,,通达信-250波幅小30,,43,43,
sh603856,东宏股份,A股股票-新浪,,通达信-250波幅小30,,32,29,
sz002763,汇洁股份,A股股票-新浪,,通达信-250波幅小30,,29,21,
sh600018,上港集团,A股股票-新浪,,通达信-250标准差小5,,1357,1353,
sh601009,南京银行,A股股票-新浪,,通达信-250标准差小5,,1206,1206,
sh600009,上海机场,A股股票-新浪,,通达信-250标准差小5,,816,629,
sh600803,新奥股份,A股股票-新浪,,通达信-250标准差小5,,601,547,
sh601021,春秋航空,A股股票-新浪,,通达信-250标准差小5,,573,573,
sz002032,苏泊尔,A股股票-新浪,,通达信-250标准差小5,,472,472,
sz002252,上海莱士,A股股票-新浪,,通达信-250标准差小5,,455,454,
sz000513,丽珠集团,A股股票-新浪,,通达信-250标准差小5,,330,213,
sh601928,凤凰传媒,A股股票-新浪,,通达信-250标准差小5,,303,303,
sh600098,广州发展,A股股票-新浪,,通达信-250标准差小5,,229,228,
sh600004,白云机场,A股股票-新浪,,通达信-250标准差小5,,221,221,
sh600007,中国国贸,A股股票-新浪,,通达信-250标准差小5,,218,218,
sh601811,新华文轩,A股股票-新浪,,通达信-250标准差小5,,189,121,
sh601139,深圳燃气,A股股票-新浪,,通达信-250标准差小5,,186,186,
sh601326,秦港股份,A股股票-新浪,,通达信-250标准差小5,,186,158,
sh601952,苏垦农发,A股股票-新浪,,通达信-250标准差小5,,135,135,
sh603235,天新药业,A股股票-新浪,,通达信-250标准差小5,,117,39,
sh603281,江翰新材,A股股票-新浪,,通达信-250标准差小5,,87,59,
sh600054,黄山旅游,A股股票-新浪,,通达信-250标准差小5,,83,58,
sh600987,航民股份,A股股票-新浪,,通达信-250标准差小5,,74,74,
sh600138,中青旅,A股股票-新浪,,通达信-250标准差小5,,69,69,
sh601065,江盐集团,A股股票-新浪,,通达信-250标准差小5,,53,34,
sh601199,江南水务,A股股票-新浪,,通达信-250标准差小5,,50,50,
sz002033,丽江股份,A股股票-新浪,,通达信-250标准差小5,,49,49,
sh601398,工商银行,A股股票-新浪,,通达信-120波幅小20,,25376,19196,
sh600941,中国移动,A股股票-新浪,,通达信-120波幅小20,,24789,1037,
sh601939,建设银行,A股股票-新浪,,通达信-120波幅小20,,22926,880,
sh600519,贵州茅台,A股股票-新浪,,通达信-120波幅小20,,19848,19848,
sh601288,农业银行,A股股票-新浪,,通达信-120波幅小20,,19634,17910,
sh601988,中国银行,A股股票-新浪,,通达信-120波幅小20,,16574,11866,
sh601318,中国平安,A股股票-新浪,,通达信-120波幅小20,,9804,5795,
sh600900,长江电力,A股股票-新浪,,通达信-120波幅小20,,7592,7449,
sz000333,美的集团,A股股票-新浪,,通达信-120波幅小20,,6087,5481,
sh601328,交通银行,A股股票-新浪,,通达信-120波幅小20,,5770,3050,
sh601658,邮储银行,A股股票-新浪,,通达信-120波幅小20,,5345,3618,
sh601998,中信银行,A股股票-新浪,,通达信-120波幅小20,,4390,3216,
sh601816,京沪高铁,A股股票-新浪,,通达信-120波幅小20,,2951,2951,
sz000651,格力电器,A股股票-新浪,,通达信-120波幅小20,,2637,2596,
sh601818,光大银行,A股股票-新浪,,通达信-120波幅小20,,2393,1879,
sz002352,顺丰控股,A股股票-新浪,,通达信-120波幅小20,,2307,2216,
sz000001,平安银行,A股股票-新浪,,通达信-120波幅小20,,2241,2241,
sh601985,中国核电,A股股票-新浪,,通达信-120波幅小20,,1968,1807,
sh600887,伊利股份,A股股票-新浪,,通达信-120波幅小20,,1933,1923,
sh600016,民生银行,A股股票-新浪,,通达信-120波幅小20,,1839,1489,
sh600025,华能水电,A股股票-新浪,,通达信-120波幅小20,,1820,1820,
sz002142,宁波银行,A股股票-新浪,,通达信-120波幅小20,,1790,1789,
sh600019,宝钢股份,A股股票-新浪,,通达信-120波幅小20,,1503,1494,
sh600660,福耀玻璃,A股股票-新浪,,通达信-120波幅小20,,1540,1182,
sh600018,上港集团,A股股票-新浪,,通达信-120波幅小20,,1357,1353,
sh601006,大秦铁路,A股股票-新浪,,通达信-120波幅小20,,1350,1350,
sh601169,北京银行,A股股票-新浪,,通达信-120波幅小20,,1338,1338,
sh600585,海螺水泥,A股股票-新浪,,通达信-120波幅小20,,1259,950,
sh600905,三峡能源,A股股票-新浪,,通达信-120波幅小20,,1242,1241,
sh600015,华夏银行,A股股票-新浪,,通达信-120波幅小20,,1210,1169,
sh601009,南京银行,A股股票-新浪,,通达信-120波幅小20,,1206,1206,
sh600346,恒力石化,A股股票-新浪,,通达信-120波幅小20,,1103,1103,
sz002027,分众传媒,A股股票-新浪,,通达信-120波幅小20,,1064,1064,
sh600926,杭州银行,A股股票-新浪,,通达信-120波幅小20,,1033,1033,
sz000538,云南白药,A股股票-新浪,,通达信-120波幅小20,,1012,1005,
sh603195,公牛集团,A股股票-新浪,,通达信-120波幅小20,,932,928,
sh601868,中国能建,A股股票-新浪,,通达信-120波幅小20,,926,720,
sz000895,双汇发展,A股股票-新浪,,通达信-120波幅小20,,857,857,
sh601916,浙商银行,A股股票-新浪,,通达信-120波幅小20,,865,679,
sh601825,沪农商行,A股股票-新浪,,通达信-120波幅小20,,874,844,
sh600795,国电电力,A股股票-新浪,,通达信-120波幅小20,,842,842,
sh600377,宁沪高速,A股股票-新浪,,通达信-120波幅小20,,809,611,
sh600023,浙能电力,A股股票-新浪,,通达信-120波幅小20,,725,725,
sz002001,新和成,A股股票-新浪,,通达信-120波幅小20,,692,684,
sh600196,复星医药,A股股票-新浪,,通达信-120波幅小20,,640,507,
sh600741,华域汽车,A股股票-新浪,,通达信-120波幅小20,,601,601,
sz002028,思源电气,A股股票-新浪,,通达信-120波幅小20,,600,468,
sz000708,中信特钢,A股股票-新浪,,通达信-120波幅小20,,569,569,
sh600875,东方电气,A股股票-新浪,,通达信-120波幅小20,,543,324,
sz000999,华润三九,A股股票-新浪,,通达信-120波幅小20,,535,531,
sz001872,招商港口,A股股票-新浪,,通达信-120波幅小20,,523,365,
sh600236,桂冠电力,A股股票-新浪,,通达信-120波幅小20,,519,519,
sz002032,苏泊尔,A股股票-新浪,,通达信-120波幅小20,,472,472,
sz002252,上海莱士,A股股票-新浪,,通达信-120波幅小20,,455,454,
sh600642,申能股份,A股股票-新浪,,通达信-120波幅小20,,445,444,
sh600332,白云山,A股股票-新浪,,通达信-120波幅小20,,440,380,
sh600426,华鲁恒升,A股股票-新浪,,通达信-120波幅小20,,432,431,
sh600096,云天化,A股股票-新浪,,通达信-120波幅小20,,411,411,
sz002601,龙佰集团,A股股票-新浪,,通达信-120波幅小20,,392,327,
sz002078,太阳纸业,A股股票-新浪,,通达信-120波幅小20,,395,390,
sh601577,长沙银行,A股股票-新浪,,通达信-120波幅小20,,393,393,
